year,category,currency,lower_bound,upper_bound
2014,poor,idr,0.0,302735.0
2014,poor,usd ppp,0.0,2.093666667
2014,vulnerable,idr,302735.0,454102.5
2014,vulnerable,usd ppp,2.093666667,3.1405000005
2014,amc,idr,454102.5,1059572.5
2014,amc,usd ppp,3.1405000005,7.327833334499999
2014,mc,idr,1059572.5,5146495.0
2014,mc,usd ppp,7.327833334499999,35.592333339
2014,uc,idr,5146495.0,inf
2014,uc,usd ppp,35.592333339,inf
2015,poor,idr,0.0,330776.0
2015,poor,usd ppp,0.0,2.287666667
2015,vulnerable,idr,330776.0,496164.0
2015,vulnerable,usd ppp,2.287666667,3.4315000005
2015,amc,idr,496164.0,1157716.0
2015,amc,usd ppp,3.4315000005,8.0068333345
2015,mc,idr,1157716.0,5623192.0
2015,mc,usd ppp,8.0068333345,38.890333338999994
2015,uc,idr,5623192.0,inf
2015,uc,usd ppp,38.890333338999994,inf
2016,poor,idr,0.0,354386.0
2016,poor,usd ppp,0.0,2.451
2016,vulnerable,idr,354386.0,531579.0
2016,vulnerable,usd ppp,2.451,3.6765
2016,amc,idr,531579.0,1240351.0
2016,amc,usd ppp,3.6765,8.5785
2016,mc,idr,1240351.0,6024562.0
2016,mc,usd ppp,8.5785,41.667
2016,uc,idr,6024562.0,inf
2016,uc,usd ppp,41.667,inf
2017,poor,idr,0.0,374478.0
2017,poor,usd ppp,0.0,2.59
2017,vulnerable,idr,374478.0,561717.0
2017,vulnerable,usd ppp,2.59,3.885
2017,amc,idr,561717.0,1310673.0
2017,amc,usd ppp,3.885,9.065
2017,mc,idr,1310673.0,6366126.0
2017,mc,usd ppp,9.065,44.03
2017,uc,idr,6366126.0,inf
2017,uc,usd ppp,44.03,inf
2018,poor,idr,0.0,401220.0
2018,poor,usd ppp,0.0,2.774666667
2018,vulnerable,idr,401220.0,601830.0
2018,vulnerable,usd ppp,2.774666667,4.1620000005
2018,amc,idr,601830.0,1404270.0
2018,amc,usd ppp,4.1620000005,9.7113333345
2018,mc,idr,1404270.0,6820740.0
2018,mc,usd ppp,9.7113333345,47.169333339
2018,uc,idr,6820740.0,inf
2018,uc,usd ppp,47.169333339,inf
2019,poor,idr,0.0,425250.0
2019,poor,usd ppp,0.0,2.941
2019,vulnerable,idr,425250.0,637875.0
2019,vulnerable,usd ppp,2.941,4.4115
2019,amc,idr,637875.0,1488375.0
2019,amc,usd ppp,4.4115,10.2935
2019,mc,idr,1488375.0,7229250.0
2019,mc,usd ppp,10.2935,49.997
2019,uc,idr,7229250.0,inf
2019,uc,usd ppp,49.997,inf
2020,poor,idr,0.0,454652.0
2020,poor,usd ppp,0.0,3.144333333
2020,vulnerable,idr,454652.0,681978.0
2020,vulnerable,usd ppp,3.144333333,4.7164999995
2020,amc,idr,681978.0,1591282.0
2020,amc,usd ppp,4.7164999995,11.005166665500001
2020,mc,idr,1591282.0,7729084.0
2020,mc,usd ppp,11.005166665500001,53.453666661
2020,uc,idr,7729084.0,inf
2020,uc,usd ppp,53.453666661,inf
2021,poor,idr,0.0,472525.0
2021,poor,usd ppp,0.0,3.268
2021,vulnerable,idr,472525.0,708787.5
2021,vulnerable,usd ppp,3.268,4.901999999999999
2021,amc,idr,708787.5,1653837.5
2021,amc,usd ppp,4.901999999999999,11.437999999999999
2021,mc,idr,1653837.5,8032925.0
2021,mc,usd ppp,11.437999999999999,55.556
2021,uc,idr,8032925.0,inf
2021,uc,usd ppp,55.556,inf
2022,poor,idr,0.0,505469.0
2022,poor,usd ppp,0.0,3.495666667
2022,vulnerable,idr,505469.0,758203.5
2022,vulnerable,usd ppp,3.495666667,5.2435000005
2022,amc,idr,758203.5,1769141.5
2022,amc,usd ppp,5.2435000005,12.2348333345
2022,mc,idr,1769141.5,8592973.0
2022,mc,usd ppp,12.2348333345,59.426333339
2022,uc,idr,8592973.0,inf
2022,uc,usd ppp,59.426333339,inf
2023,poor,idr,0.0,550458.0
2023,poor,usd ppp,0.0,3.807
2023,vulnerable,idr,550458.0,825687.0
2023,vulnerable,usd ppp,3.807,5.7105
2023,amc,idr,825687.0,1926603.0
2023,amc,usd ppp,5.7105,13.3245
2023,mc,idr,1926603.0,9357786.0
2023,mc,usd ppp,13.3245,64.719
2023,uc,idr,9357786.0,inf
2023,uc,usd ppp,64.719,inf
2024,poor,idr,0.0,582932.0
2024,poor,usd ppp,0.0,4.031666667
2024,vulnerable,idr,582932.0,874398.0
2024,vulnerable,usd ppp,4.031666667,6.0475000004999995
2024,amc,idr,874398.0,2040262.0
2024,amc,usd ppp,6.0475000004999995,14.110833334499999
2024,mc,idr,2040262.0,9909844.0
2024,mc,usd ppp,14.110833334499999,68.53833333899999
2024,uc,idr,9909844.0,inf
2024,uc,usd ppp,68.53833333899999,inf
